nr;name;teacher;teachingAssistant
1;undergraduateCourse0;1;1102
11;undergraduateCourse1;11;
21;undergraduateCourse2;21;1432
31;undergraduateCourse3;21;
41;undergraduateCourse4;31;522
51;undergraduateCourse5;31;
61;undergraduateCourse6;41;
71;undergraduateCourse7;51;
81;undergraduateCourse8;61;672
91;undergraduateCourse9;61;962
101;undergraduateCourse10;71;
111;undergraduateCourse11;71;902
121;undergraduateCourse12;81;152
131;undergraduateCourse13;91;
141;undergraduateCourse14;91;432
151;undergraduateCourse15;2;
161;undergraduateCourse16;2;
171;undergraduateCourse17;12;762
181;undergraduateCourse18;12;72
191;undergraduateCourse19;22;
201;undergraduateCourse20;22;272
211;undergraduateCourse21;32;172
221;undergraduateCourse22;42;
231;undergraduateCourse23;42;
241;undergraduateCourse24;52;
251;undergraduateCourse25;62;12
261;undergraduateCourse26;72;
271;undergraduateCourse27;72;342
281;undergraduateCourse28;82;1092
291;undergraduateCourse29;92;262
301;undergraduateCourse30;92;142
311;undergraduateCourse31;102;
321;undergraduateCourse32;102;1132
331;undergraduateCourse33;112;
341;undergraduateCourse34;112;1302
351;undergraduateCourse35;122;22
361;undergraduateCourse36;132;1442
371;undergraduateCourse37;132;942
381;undergraduateCourse38;3;
391;undergraduateCourse39;3;
401;undergraduateCourse40;13;592
411;undergraduateCourse41;23;582
421;undergraduateCourse42;33;52
431;undergraduateCourse43;43;
441;undergraduateCourse44;53;
451;undergraduateCourse45;63;
461;undergraduateCourse46;73;
471;undergraduateCourse47;73;1142
481;undergraduateCourse48;83;
491;undergraduateCourse49;83;
501;undergraduateCourse50;93;
511;undergraduateCourse51;93;
521;undergraduateCourse52;4;
531;undergraduateCourse53;4;462
541;undergraduateCourse54;14;
551;undergraduateCourse55;24;1422
561;undergraduateCourse56;34;
571;undergraduateCourse57;34;
581;undergraduateCourse58;44;
591;undergraduateCourse59;54;932
601;undergraduateCourse60;64;
1001;undergraduateCourse0;1001;10782
1011;undergraduateCourse1;1001;10342
1021;undergraduateCourse2;1011;
1031;undergraduateCourse3;1021;10792
1041;undergraduateCourse4;1021;10092
1051;undergraduateCourse5;1031;11072
1061;undergraduateCourse6;1031;10282
1071;undergraduateCourse7;1041;
1081;undergraduateCourse8;1041;
1091;undergraduateCourse9;1051;11092
1101;undergraduateCourse10;1061;10932
1111;undergraduateCourse11;1071;
1121;undergraduateCourse12;1081;10032
1131;undergraduateCourse13;1091;10452
1141;undergraduateCourse14;1002;
1151;undergraduateCourse15;1012;
1161;undergraduateCourse16;1012;
1171;undergraduateCourse17;1022;10162
1181;undergraduateCourse18;1022;
1191;undergraduateCourse19;1032;
1201;undergraduateCourse20;1042;
1211;undergraduateCourse21;1052;
1221;undergraduateCourse22;1062;
1231;undergraduateCourse23;1072;
1241;undergraduateCourse24;1082;
1251;undergraduateCourse25;1092;10352
1261;undergraduateCourse26;1003;10202
1271;undergraduateCourse27;1003;10982
1281;undergraduateCourse28;1013;10752
1291;undergraduateCourse29;1023;
1301;undergraduateCourse30;1033;10062
1311;undergraduateCourse31;1043;10272
1321;undergraduateCourse32;1053;
1331;undergraduateCourse33;1053;10572
1341;undergraduateCourse34;1063;11062
1351;undergraduateCourse35;1073;
1361;undergraduateCourse36;1073;11002
1371;undergraduateCourse37;1004;
1381;undergraduateCourse38;1014;10912
1391;undergraduateCourse39;1014;10302
1401;undergraduateCourse40;1024;
1411;undergraduateCourse41;1024;10402
1421;undergraduateCourse42;1034;10722
1431;undergraduateCourse43;1034;
1441;undergraduateCourse44;1044;10242
1451;undergraduateCourse45;1044;
1461;undergraduateCourse46;1054;10122
1471;undergraduateCourse47;1054;10312
2001;undergraduateCourse0;2001;21062
2011;undergraduateCourse1;2001;
2021;undergraduateCourse2;2011;20242
2031;undergraduateCourse3;2021;20712
2041;undergraduateCourse4;2021;20102
2051;undergraduateCourse5;2031;
2061;undergraduateCourse6;2031;20472
2071;undergraduateCourse7;2041;
2081;undergraduateCourse8;2051;
2091;undergraduateCourse9;2051;
2101;undergraduateCourse10;2061;20862
2111;undergraduateCourse11;2061;
2121;undergraduateCourse12;2002;
2131;undergraduateCourse13;2012;
2141;undergraduateCourse14;2022;20012
2151;undergraduateCourse15;2022;
2161;undergraduateCourse16;2032;20262
2171;undergraduateCourse17;2032;
2181;undergraduateCourse18;2042;20232
2191;undergraduateCourse19;2042;20432
2201;undergraduateCourse20;2052;
2211;undergraduateCourse21;2062;
2221;undergraduateCourse22;2072;
2231;undergraduateCourse23;2082;
2241;undergraduateCourse24;2092;
2251;undergraduateCourse25;2102;
2261;undergraduateCourse26;2112;20292
2271;undergraduateCourse27;2112;
2281;undergraduateCourse28;2003;
2291;undergraduateCourse29;2003;
2301;undergraduateCourse30;2013;20992
2311;undergraduateCourse31;2023;20322
2321;undergraduateCourse32;2023;20732
2331;undergraduateCourse33;2033;
2341;undergraduateCourse34;2043;20222
2351;undergraduateCourse35;2043;
2361;undergraduateCourse36;2053;
2371;undergraduateCourse37;2053;20482
2381;undergraduateCourse38;2063;
2391;undergraduateCourse39;2073;20402
2401;undergraduateCourse40;2004;20082
2411;undergraduateCourse41;2004;20922
2421;undergraduateCourse42;2014;21032
2431;undergraduateCourse43;2014;
2441;undergraduateCourse44;2024;
2451;undergraduateCourse45;2034;
2461;undergraduateCourse46;2044;20092
2471;undergraduateCourse47;2054;20272
2481;undergraduateCourse48;2064;20562
3001;undergraduateCourse0;3001;30082
3011;undergraduateCourse1;3011;30822
3021;undergraduateCourse2;3021;
3031;undergraduateCourse3;3021;
3041;undergraduateCourse4;3031;
3051;undergraduateCourse5;3031;31162
3061;undergraduateCourse6;3041;
3071;undergraduateCourse7;3051;30002
3081;undergraduateCourse8;3061;
3091;undergraduateCourse9;3061;
3101;undergraduateCourse10;3071;30222
3111;undergraduateCourse11;3081;
3121;undergraduateCourse12;3002;30422
3131;undergraduateCourse13;3002;
3141;undergraduateCourse14;3012;30702
3151;undergraduateCourse15;3022;30662
3161;undergraduateCourse16;3022;31082
3171;undergraduateCourse17;3032;30412
3181;undergraduateCourse18;3032;31192
3191;undergraduateCourse19;3042;31112
3201;undergraduateCourse20;3052;31022
3211;undergraduateCourse21;3052;
3221;undergraduateCourse22;3062;30032
3231;undergraduateCourse23;3062;30852
3241;undergraduateCourse24;3072;
3251;undergraduateCourse25;3082;
3261;undergraduateCourse26;3092;30292
3271;undergraduateCourse27;3092;30782
3281;undergraduateCourse28;3102;
3291;undergraduateCourse29;3102;
3301;undergraduateCourse30;3112;
3311;undergraduateCourse31;3003;30402
3321;undergraduateCourse32;3003;
3331;undergraduateCourse33;3013;30932
3341;undergraduateCourse34;3013;
3351;undergraduateCourse35;3023;30612
3361;undergraduateCourse36;3023;
3371;undergraduateCourse37;3033;30302
3381;undergraduateCourse38;3043;
3391;undergraduateCourse39;3043;
3401;undergraduateCourse40;3053;
3411;undergraduateCourse41;3063;30632
3421;undergraduateCourse42;3073;
3431;undergraduateCourse43;3083;
3441;undergraduateCourse44;3083;
3451;undergraduateCourse45;3093;
3461;undergraduateCourse46;3093;30022
3471;undergraduateCourse47;3004;
3481;undergraduateCourse48;3014;
3491;undergraduateCourse49;3014;
3501;undergraduateCourse50;3024;
3511;undergraduateCourse51;3034;30052
3521;undergraduateCourse52;3044;
3531;undergraduateCourse53;3044;30172
3541;undergraduateCourse54;3054;
4001;undergraduateCourse0;4001;40042
4011;undergraduateCourse1;4001;
4021;undergraduateCourse2;4011;40232
4031;undergraduateCourse3;4021;40952
4041;undergraduateCourse4;4021;40632
4051;undergraduateCourse5;4031;40212
4061;undergraduateCourse6;4031;40692
4071;undergraduateCourse7;4041;
4081;undergraduateCourse8;4041;
4091;undergraduateCourse9;4051;
4101;undergraduateCourse10;4061;40072
4111;undergraduateCourse11;4061;
4121;undergraduateCourse12;4002;
4131;undergraduateCourse13;4012;40922
4141;undergraduateCourse14;4012;40132
4151;undergraduateCourse15;4022;
4161;undergraduateCourse16;4032;
4171;undergraduateCourse17;4032;40552
4181;undergraduateCourse18;4042;
4191;undergraduateCourse19;4042;
4201;undergraduateCourse20;4052;40782
4211;undergraduateCourse21;4062;
4221;undergraduateCourse22;4072;40842
4231;undergraduateCourse23;4072;41002
4241;undergraduateCourse24;4082;
4251;undergraduateCourse25;4082;40572
4261;undergraduateCourse26;4092;
4271;undergraduateCourse27;4003;41112
4281;undergraduateCourse28;4013;40612
4291;undergraduateCourse29;4023;
4301;undergraduateCourse30;4033;
4311;undergraduateCourse31;4033;41152
4321;undergraduateCourse32;4043;40872
4331;undergraduateCourse33;4043;40812
4341;undergraduateCourse34;4053;40282
4351;undergraduateCourse35;4063;41192
4361;undergraduateCourse36;4063;
4371;undergraduateCourse37;4073;40832
4381;undergraduateCourse38;4073;
4391;undergraduateCourse39;4083;
4401;undergraduateCourse40;4083;
4411;undergraduateCourse41;4093;40422
4421;undergraduateCourse42;4004;40172
4431;undergraduateCourse43;4014;40512
4441;undergraduateCourse44;4014;
4451;undergraduateCourse45;4024;
4461;undergraduateCourse46;4024;40622
4471;undergraduateCourse47;4034;
4481;undergraduateCourse48;4044;40222
4491;undergraduateCourse49;4054;40662
4501;undergraduateCourse50;4064;41222
5001;undergraduateCourse0;5001;
5011;undergraduateCourse1;5001;
5021;undergraduateCourse2;5011;
5031;undergraduateCourse3;5021;50472
5041;undergraduateCourse4;5021;50882
5051;undergraduateCourse5;5031;50152
5061;undergraduateCourse6;5031;
5071;undergraduateCourse7;5041;
5081;undergraduateCourse8;5041;
5091;undergraduateCourse9;5051;50452
5101;undergraduateCourse10;5061;
5111;undergraduateCourse11;5071;
5121;undergraduateCourse12;5081;51042
5131;undergraduateCourse13;5091;50512
5141;undergraduateCourse14;5002;
5151;undergraduateCourse15;5002;50702
5161;undergraduateCourse16;5012;
5171;undergraduateCourse17;5012;50582
5181;undergraduateCourse18;5022;50312
5191;undergraduateCourse19;5022;50222
5201;undergraduateCourse20;5032;
5211;undergraduateCourse21;5032;50962
5221;undergraduateCourse22;5042;
5231;undergraduateCourse23;5042;
5241;undergraduateCourse24;5052;50102
5251;undergraduateCourse25;5052;
5261;undergraduateCourse26;5062;
5271;undergraduateCourse27;5062;51082
5281;undergraduateCourse28;5072;
5291;undergraduateCourse29;5072;50232
5301;undergraduateCourse30;5082;50532
5311;undergraduateCourse31;5082;
5321;undergraduateCourse32;5092;50482
5331;undergraduateCourse33;5102;50262
5341;undergraduateCourse34;5003;
5351;undergraduateCourse35;5013;
5361;undergraduateCourse36;5013;50952
5371;undergraduateCourse37;5023;50422
5381;undergraduateCourse38;5023;50002
5391;undergraduateCourse39;5033;50342
5401;undergraduateCourse40;5033;
5411;undergraduateCourse41;5043;50492
5421;undergraduateCourse42;5053;
5431;undergraduateCourse43;5063;
5441;undergraduateCourse44;5073;
5451;undergraduateCourse45;5073;
5461;undergraduateCourse46;5004;
5471;undergraduateCourse47;5004;50392
5481;undergraduateCourse48;5014;
5491;undergraduateCourse49;5014;50782
5501;undergraduateCourse50;5024;
5511;undergraduateCourse51;5024;
5521;undergraduateCourse52;5034;50732
5531;undergraduateCourse53;5044;
5541;undergraduateCourse54;5044;
5551;undergraduateCourse55;5054;50132
5561;undergraduateCourse56;5054;
6001;undergraduateCourse0;6001;60202
6011;undergraduateCourse1;6011;
6021;undergraduateCourse2;6011;60642
6031;undergraduateCourse3;6021;
6041;undergraduateCourse4;6031;60882
6051;undergraduateCourse5;6031;60472
6061;undergraduateCourse6;6041;
6071;undergraduateCourse7;6041;
6081;undergraduateCourse8;6051;
6091;undergraduateCourse9;6051;60542
6101;undergraduateCourse10;6061;
6111;undergraduateCourse11;6071;60332
6121;undergraduateCourse12;6071;60572
6131;undergraduateCourse13;6081;
6141;undergraduateCourse14;6081;
6151;undergraduateCourse15;6091;
6161;undergraduateCourse16;6002;60132
6171;undergraduateCourse17;6002;60582
6181;undergraduateCourse18;6012;
6191;undergraduateCourse19;6012;
6201;undergraduateCourse20;6022;
6211;undergraduateCourse21;6022;
6221;undergraduateCourse22;6032;
6231;undergraduateCourse23;6032;
6241;undergraduateCourse24;6042;
6251;undergraduateCourse25;6042;60992
6261;undergraduateCourse26;6052;60302
6271;undergraduateCourse27;6062;
6281;undergraduateCourse28;6062;61002
6291;undergraduateCourse29;6072;
6301;undergraduateCourse30;6082;
6311;undergraduateCourse31;6082;60782
6321;undergraduateCourse32;6092;
6331;undergraduateCourse33;6003;60422
6341;undergraduateCourse34;6013;60592
6351;undergraduateCourse35;6023;60362
6361;undergraduateCourse36;6023;
6371;undergraduateCourse37;6033;60482
6381;undergraduateCourse38;6033;60942
6391;undergraduateCourse39;6043;
6401;undergraduateCourse40;6043;60622
6411;undergraduateCourse41;6053;60702
6421;undergraduateCourse42;6053;
6431;undergraduateCourse43;6063;
6441;undergraduateCourse44;6063;
6451;undergraduateCourse45;6073;
6461;undergraduateCourse46;6004;60902
6471;undergraduateCourse47;6004;
6481;undergraduateCourse48;6014;
6491;undergraduateCourse49;6014;60072
6501;undergraduateCourse50;6024;60512
6511;undergraduateCourse51;6034;60792
6521;undergraduateCourse52;6034;
6531;undergraduateCourse53;6044;
6541;undergraduateCourse54;6044;60102
6551;undergraduateCourse55;6054;61042
7001;undergraduateCourse0;7001;
7011;undergraduateCourse1;7011;
7021;undergraduateCourse2;7021;
7031;undergraduateCourse3;7031;
7041;undergraduateCourse4;7031;71172
7051;undergraduateCourse5;7041;
7061;undergraduateCourse6;7051;
7071;undergraduateCourse7;7051;70002
7081;undergraduateCourse8;7061;70622
7091;undergraduateCourse9;7061;
7101;undergraduateCourse10;7002;
7111;undergraduateCourse11;7002;70982
7121;undergraduateCourse12;7012;
7131;undergraduateCourse13;7012;
7141;undergraduateCourse14;7022;70992
7151;undergraduateCourse15;7022;70032
7161;undergraduateCourse16;7032;
7171;undergraduateCourse17;7032;
7181;undergraduateCourse18;7042;
7191;undergraduateCourse19;7052;70432
7201;undergraduateCourse20;7052;
7211;undergraduateCourse21;7062;
7221;undergraduateCourse22;7072;71182
7231;undergraduateCourse23;7072;
7241;undergraduateCourse24;7082;70122
7251;undergraduateCourse25;7082;
7261;undergraduateCourse26;7092;70022
7271;undergraduateCourse27;7092;
7281;undergraduateCourse28;7102;70812
7291;undergraduateCourse29;7102;
7301;undergraduateCourse30;7112;70102
7311;undergraduateCourse31;7122;
7321;undergraduateCourse32;7122;
7331;undergraduateCourse33;7132;
7341;undergraduateCourse34;7003;
7351;undergraduateCourse35;7003;
7361;undergraduateCourse36;7013;70772
7371;undergraduateCourse37;7013;70542
7381;undergraduateCourse38;7023;
7391;undergraduateCourse39;7023;
7401;undergraduateCourse40;7033;
7411;undergraduateCourse41;7043;
7421;undergraduateCourse42;7043;70152
7431;undergraduateCourse43;7053;70112
7441;undergraduateCourse44;7053;70452
7451;undergraduateCourse45;7063;
7461;undergraduateCourse46;7063;70672
7471;undergraduateCourse47;7073;
7481;undergraduateCourse48;7073;
7491;undergraduateCourse49;7083;
