name,entry_id,calculation_id,formationenergy_id,duplicate_entry_id,composition,composition_generic,spacegroup,volume,ntypes,natoms,band_gap,delta_e
ZnNi,17859,3981,4061256,30881,Ni1 Zn1,AB,P4/mmm,23.9616,2,2,0.0,-0.26207291
ZnNi,17860,3984,4061262,17860,Ni1 Zn1,AB,Pm-3m,24.0255,2,2,0.0,-0.249743215000001
SmZn,18114,3908,4061241,18114,Sm1 Zn1,AB,Pm-3m,47.8713,2,2,0.0,-0.32744836875
TcB,21452,3995,4061280,21452,B1 Tc1,AB,Pm-3m,20.3153,2,2,0.0,0.144658812499999
SiC,22472,3911,4061244,40894,C1 Si1,AB,Fm-3m,16.624,2,2,0.0,0.53431968375
Fe,22514,3829,4061217,8568,Fe1,A,Im-3m,11.1739,1,1,0.0,0.000355089999999336
Ni,22516,3833,4061220,22516,Ni1,A,Im-3m,10.8604,1,1,0.0,0.0907972999999993
CsHoSiS4,25672,1352933,4061139,25672,Cs1 Ho1 S4 Si1,ABCD4,P212121,760.627,4,28,3.024,-1.60893999919811
Lu,1216058,2454,4061142,null,Lu1,A,R-3m,86.3513,1,3,0.0,0.0125899016666704
Tm,1216098,2689,4061145,null,Tm1,A,R-3m,88.6111,1,3,0.0,0.00639353000000042